name;female;birthdate;birthplace;link
Rachel Zegler;True;3/5/2001;['Hackensack, New Jersey'];https://en.wikipedia.org/wiki/Rachel_Zegler
Jeffrey Wright;False;7/12/1965;['Washington, D.C.', ', U.S.'];https://en.wikipedia.org/wiki/Jeffrey_Wright
Imogen Poots;True;3/6/1989;['Hammersmith', ', London, England'];https://en.wikipedia.org/wiki/Imogen_Poots
Keith Carradine;False;8/8/1949;['San Mateo, California', ', U.S.'];https://en.wikipedia.org/wiki/Keith_Carradine
Mark Strong;False;5/8/1963;['London', ', England'];https://en.wikipedia.org/wiki/Mark_Strong
Carolina Gaitán;True;4/4/1984;['Villavicencio', ', Colombia'];https://en.wikipedia.org/wiki/Carolina_Gait%C3%A1n
Jon Bernthal;False;20/9/1976;['Washington, D.C.', ', U.S.'];https://en.wikipedia.org/wiki/Jon_Bernthal
Wilmer Valderrama;False;30/1/1980;['Miami', ', ', 'Florida', ', U.S.'];https://en.wikipedia.org/wiki/Wilmer_Valderrama
Rufus Sewell;False;29/10/1967;['Hammersmith', ', ', 'London', ', England'];https://en.wikipedia.org/wiki/Rufus_Sewell
Olivia Williams;True;26/7/1968;['North London', ', England'];https://en.wikipedia.org/wiki/Olivia_Williams
Frances Conroy;True;;['Monroe', ', ', 'Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Frances_Conroy
Diane Guerrero;True;21/7/1986;['Passaic, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Diane_Guerrero
Mark Gatiss;False;17/10/1966;['Sedgefield', ', ', 'County Durham', ', England'];https://en.wikipedia.org/wiki/Mark_Gatiss
Carey Mulligan;True;28/5/1985;['London, England'];https://en.wikipedia.org/wiki/Carey_Mulligan
Bo Burnham;False;;['Hamilton, Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Bo_Burnham
Alison Brie;True;29/12/1982;['Hollywood, California', ', U.S.'];https://en.wikipedia.org/wiki/Alison_Brie
Clancy Brown;False;5/1/1959;['Urbana, Ohio', ', U.S.'];https://en.wikipedia.org/wiki/Clancy_Brown
Chris Lowell;False;17/10/1984;['Atlanta', ', ', 'Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Chris_Lowell
Glynn Turman;False;31/1/1947;['New York City, U.S.'];https://en.wikipedia.org/wiki/Glynn_Turman
Chadwick Boseman;False;29/11/1976;['Anderson, South Carolina', ', U.S.'];https://en.wikipedia.org/wiki/Chadwick_Boseman
Viola Davis;True;11/8/1965;['St. Matthews, South Carolina', ', U.S.'];https://en.wikipedia.org/wiki/Viola_Davis
Jennifer Coolidge;True;28/8/1961;['Boston', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Jennifer_Coolidge
Javier Bardem;False;1/3/1969;['Las Palmas', ', ', 'Canary Islands', ', Spain'];https://en.wikipedia.org/wiki/Javier_Bardem
Michael Potts (actor);False;21/9/1962;['Brooklyn', ', ', 'New York', ', ', 'U.S.'];https://en.wikipedia.org/wiki/Michael_Potts_(actor)
Laverne Cox;True;29/5/1972;['Mobile, Alabama', ', U.S.'];https://en.wikipedia.org/wiki/Laverne_Cox
Connie Britton;True;6/3/1967;['Boston', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Connie_Britton
Tina Fey;True;18/5/1970;['Upper Darby Township, Pennsylvania', ', U.S.'];https://en.wikipedia.org/wiki/Tina_Fey
Molly Shannon;True;16/9/1964;['Cleveland, Ohio', ', U.S.'];https://en.wikipedia.org/wiki/Molly_Shannon
Rachel House (actress);True;20/10/1971;['Auckland', ', New Zealand'];https://en.wikipedia.org/wiki/Rachel_House_(actress)
Magnus Millang;False;;[];https://en.wikipedia.org/wiki/Magnus_Millang
Jamie Foxx;False;13/12/1967;['Terrell, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Jamie_Foxx
Alice Braga;True;15/4/1983;['São Paulo', ', Brazil'];https://en.wikipedia.org/wiki/Alice_Braga
Lars Ranthe;False;26/8/1969;['Vesterbro, Copenhagen', ', Denmark'];https://en.wikipedia.org/wiki/Lars_Ranthe
Phylicia Rashad;True;19/6/1948;['Houston, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Phylicia_Rashad
Elizabeth Debicki;True;24/8/1990;['Paris', ', ', 'France'];https://en.wikipedia.org/wiki/Elizabeth_Debicki
Christian Bale;False;30/1/1974;['Haverfordwest', ', Wales, United Kingdom'];https://en.wikipedia.org/wiki/Christian_Bale
Matt Damon;False;8/10/1970;['Cambridge, Massachusetts', ', US'];https://en.wikipedia.org/wiki/Matt_Damon
Song Kang-ho;False;17/1/1967;['Gimhae', ', ', 'South Gyeongsang', ', South Korea'];https://en.wikipedia.org/wiki/Song_Kang-ho
Josh Lucas;False;20/6/1971;['Little Rock', ', ', 'Arkansas', ', U.S.'];https://en.wikipedia.org/wiki/Josh_Lucas
Eliza Scanlen;True;6/1/1999;['Sydney', ', ', 'New South Wales', ', Australia'];https://en.wikipedia.org/wiki/Eliza_Scanlen
Roman Griffin Davis;False;5/3/2007;['London', ', England'];https://en.wikipedia.org/wiki/Roman_Griffin_Davis
Jang Hye-jin (actress);True;5/9/1975;['Busan', ', ', 'South Korea'];https://en.wikipedia.org/wiki/Jang_Hye-jin_(actress)
Alan Alda;False;28/1/1936;['The Bronx', ', New York, U.S.'];https://en.wikipedia.org/wiki/Alan_Alda
Laura Dern;True;10/2/1967;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Laura_Dern
Park So-dam;True;8/9/1991;['South Korea'];https://en.wikipedia.org/wiki/Park_So-dam
Florence Pugh;True;3/1/1996;['Oxford', ', England'];https://en.wikipedia.org/wiki/Florence_Pugh
Adam Driver;False;19/11/1983;['San Diego', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Adam_Driver
Angela Bassett;True;16/8/1958;['New York City, U.S.'];https://en.wikipedia.org/wiki/Angela_Bassett
Tracy Letts;False;4/7/1965;['Tulsa, Oklahoma', ', U.S.'];https://en.wikipedia.org/wiki/Tracy_Letts
Kenneth Branagh;False;10/12/1960;['Belfast', ', Northern Ireland'];https://en.wikipedia.org/wiki/Kenneth_Branagh
Scarlett Johansson;True;22/11/1984;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Scarlett_Johansson
Julie Hagerty;True;15/6/1955;['Cincinnati, Ohio', ', U.S.'];https://en.wikipedia.org/wiki/Julie_Hagerty
Stephen Merchant;False;24/11/1974;['Bristol', ', England'];https://en.wikipedia.org/wiki/Stephen_Merchant
Zazie Beetz;True;1/6/1991;['Berlin', ', Germany'];https://en.wikipedia.org/wiki/Zazie_Beetz
Ray Liotta;False;18/12/1954;['Newark, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Ray_Liotta
Merritt Wever;True;11/8/1980;['New York City, U.S.'];https://en.wikipedia.org/wiki/Merritt_Wever
Alfie Allen;False;12/9/1986;['Hammersmith, London', ', England'];https://en.wikipedia.org/wiki/Alfie_Allen
Meryl Streep;True;22/6/1949;['Summit, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Meryl_Streep
Bob Odenkirk;False;22/10/1962;['Berwyn, Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Bob_Odenkirk
Sam Rockwell;False;5/11/1968;['Daly City, California', ', U.S.'];https://en.wikipedia.org/wiki/Sam_Rockwell
James Norton (actor);False;18/7/1985;['Lambeth', ', ', 'London', ', England', '[1]'];https://en.wikipedia.org/wiki/James_Norton_(actor)
Louis Garrel;False;14/6/1983;['Paris', ', France'];https://en.wikipedia.org/wiki/Louis_Garrel
Kate McKinnon;True;6/1/1984;['Sea Cliff, New York', ', U.S.'];https://en.wikipedia.org/wiki/Kate_McKinnon
Richard Madden;False;18/6/1986;['Elderslie', ', ', 'Renfrewshire', ', Scotland'];https://en.wikipedia.org/wiki/Richard_Madden
Chris Cooper;False;9/7/1951;['Kansas City, Missouri', ', U.S.'];https://en.wikipedia.org/wiki/Chris_Cooper
Bryce Dallas Howard;True;2/3/1981;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Bryce_Dallas_Howard
John Lithgow;False;19/10/1945;['Rochester, New York', ', U.S.'];https://en.wikipedia.org/wiki/John_Lithgow
Malcolm McDowell;False;13/6/1943;['Horsforth', ', ', 'Yorkshire', ', England'];https://en.wikipedia.org/wiki/Malcolm_McDowell
Jessie Buckley;True;28/12/1989;['Killarney', ', ', 'Kerry', ', Ireland'];https://en.wikipedia.org/wiki/Jessie_Buckley
Allison Janney;True;19/11/1959;['Boston', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Allison_Janney
Finn Wittrock;False;28/10/1984;['Lenox, Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Finn_Wittrock
Michael Gambon;False;19/10/1940;['Dublin', ', ', 'Ireland'];https://en.wikipedia.org/wiki/Michael_Gambon
Issa Rae;True;12/1/1985;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Issa_Rae
Margot Robbie;True;2/7/1990;['Dalby, Queensland', ', Australia'];https://en.wikipedia.org/wiki/Margot_Robbie
Marina de Tavira;True;21/11/1974;['Mexico City', ', Mexico'];https://en.wikipedia.org/wiki/Marina_de_Tavira
Renée Zellweger;True;25/4/1969;['Katy, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Ren%C3%A9e_Zellweger
Yalitza Aparicio;True;11/12/1993;['Tlaxiaco', ', ', 'Oaxaca', ', Mexico'];https://en.wikipedia.org/wiki/Yalitza_Aparicio
Jamie Bell;False;14/3/1986;['Billingham', ', ', 'County Durham', ', England'];https://en.wikipedia.org/wiki/Jamie_Bell
Taron Egerton;False;10/11/1989;['Birkenhead', ', ', 'Merseyside', ', England'];https://en.wikipedia.org/wiki/Taron_Egerton
Lucy Boynton;True;17/1/1994;['New York City, U.S.'];https://en.wikipedia.org/wiki/Lucy_Boynton
Ben Hardy (actor);False;2/1/1991;['Bournemouth', ', ', 'Dorset', ', England'];https://en.wikipedia.org/wiki/Ben_Hardy_(actor)
Nicole Kidman;True;20/6/1967;['Honolulu', ', Hawaii, U.S.'];https://en.wikipedia.org/wiki/Nicole_Kidman
Lupita Nyong'o;True;1/3/1983;['Mexico City', ', Mexico'];https://en.wikipedia.org/wiki/Lupita_Nyong%27o
Amy Adams;True;20/8/1974;['Vicenza', ', Italy'];https://en.wikipedia.org/wiki/Amy_Adams
Michael B. Jordan;False;9/2/1987;['Santa Ana, California', ', U.S.'];https://en.wikipedia.org/wiki/Michael_B._Jordan
Gwilym Lee;False;24/11/1983;['Bristol', ', England'];https://en.wikipedia.org/wiki/Gwilym_Lee
Danai Gurira;True;14/2/1978;['Grinnell, Iowa', ', U.S.'];https://en.wikipedia.org/wiki/Danai_Gurira
Joseph Mazzello;False;21/9/1983;['Rhinebeck, New York', ', U.S.'];https://en.wikipedia.org/wiki/Joseph_Mazzello
Andrew Dice Clay;False;29/9/1957;[];https://en.wikipedia.org/wiki/Andrew_Dice_Clay
Martin Freeman;False;8/9/1971;['Aldershot', ', ', 'Hampshire', ', England'];https://en.wikipedia.org/wiki/Martin_Freeman
Arunachalam Muruganantham;False;12/10/1961;['Coimbatore', ', ', 'Tamil Nadu', ', ', 'India'];https://en.wikipedia.org/wiki/Arunachalam_Muruganantham
Jonathan Tucker;False;31/5/1982;['Boston', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Jonathan_Tucker
Lady Gaga;True;28/3/1986;['New York City, U.S.'];https://en.wikipedia.org/wiki/Lady_Gaga
Dave Franco;False;12/6/1985;['Palo Alto, California', ', U.S.'];https://en.wikipedia.org/wiki/Dave_Franco
Mahershala Ali;False;16/2/1974;['Oakland, California', ', U.S.', '[1]'];https://en.wikipedia.org/wiki/Mahershala_Ali
Forest Whitaker;False;15/7/1961;['Longview, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Forest_Whitaker
Michael Beach;False;30/10/1963;['Roxbury, Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Michael_Beach
Christopher Abbott;False;1/2/1986;['Greenwich, Connecticut', ', U.S.'];https://en.wikipedia.org/wiki/Christopher_Abbott
Jackson Robert Scott;False;18/9/2008;['Phoenix', ', ', 'Arizona', ', U.S.'];https://en.wikipedia.org/wiki/Jackson_Robert_Scott
Danielle Macdonald;True;19/5/1991;['Sydney, New South Wales', ', Australia'];https://en.wikipedia.org/wiki/Danielle_Macdonald
Viggo Mortensen;False;20/10/1958;['Watertown, New York', ', U.S.'];https://en.wikipedia.org/wiki/Viggo_Mortensen
Winston Duke;False;15/11/1986;['Argyle, Saint Paul, ', 'Trinidad and Tobago'];https://en.wikipedia.org/wiki/Winston_Duke
Teyonah Parris;True;;['Hopkins, South Carolina', ', U.S.'];https://en.wikipedia.org/wiki/Teyonah_Parris
Richard Jenkins;False;4/5/1947;['DeKalb, Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Richard_Jenkins
Brian Tyree Henry;False;31/3/1982;['Fayetteville, North Carolina', ', U.S.'];https://en.wikipedia.org/wiki/Brian_Tyree_Henry
Doug Jones (actor);False;24/5/1960;['Indianapolis', ', ', 'Indiana', ', U.S.'];https://en.wikipedia.org/wiki/Doug_Jones_(actor)
Ed Skrein;False;29/3/1983;['Camden', ', London, England'];https://en.wikipedia.org/wiki/Ed_Skrein
Hailee Steinfeld;True;11/12/1996;['Tarzana, California', ', U.S.'];https://en.wikipedia.org/wiki/Hailee_Steinfeld
Pedro Pascal;False;2/4/1975;['Santiago', ', Chile'];https://en.wikipedia.org/wiki/Pedro_Pascal
Michael Shannon;False;7/8/1974;['Lexington', ', ', 'Kentucky', ', U.S.'];https://en.wikipedia.org/wiki/Michael_Shannon
Sally Hawkins;True;27/4/1976;['Dulwich', ', ', 'London', ', England'];https://en.wikipedia.org/wiki/Sally_Hawkins
Jake Johnson;False;28/5/1978;['Evanston, Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Jake_Johnson
Shameik Moore;False;4/5/1995;['Atlanta', ', ', 'Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Shameik_Moore
Andy Serkis;False;20/4/1964;['Ruislip Manor', ', ', 'Middlesex', ', England'];https://en.wikipedia.org/wiki/Andy_Serkis
Diego Luna;False;29/12/1979;['Toluca', ', Mexico'];https://en.wikipedia.org/wiki/Diego_Luna
Lauren Vélez;True;2/11/1964;['Brooklyn, New York', ', U.S.'];https://en.wikipedia.org/wiki/Lauren_V%C3%A9lez
Benjamin Bratt;False;16/12/1963;['San Francisco', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Benjamin_Bratt
Octavia Spencer;True;25/5/1970;['Montgomery, Alabama', ', U.S.'];https://en.wikipedia.org/wiki/Octavia_Spencer
Lily Tomlin;True;1/9/1939;[];https://en.wikipedia.org/wiki/Lily_Tomlin
Harrison Ford;False;13/7/1942;['Chicago', ', ', 'Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Harrison_Ford
Sylvia Hoeks;True;1/6/1983;['Maarheeze', ', ', 'North Brabant', ', Netherlands'];https://en.wikipedia.org/wiki/Sylvia_Hoeks
John Mulaney;False;26/8/1982;[];https://en.wikipedia.org/wiki/John_Mulaney
Ronald Pickup;False;7/6/1940;['Chester', ', ', 'Cheshire', ', England'];https://en.wikipedia.org/wiki/Ronald_Pickup
Ben Mendelsohn;False;3/4/1969;['Melbourne', ', ', 'Victoria', ', Australia'];https://en.wikipedia.org/wiki/Ben_Mendelsohn
Vicky Krieps;True;4/10/1983;['Luxembourg City', ', ', 'Luxembourg'];https://en.wikipedia.org/wiki/Vicky_Krieps
Stephen Root;False;17/11/1951;['Sarasota, Florida', ', U.S.'];https://en.wikipedia.org/wiki/Stephen_Root
Amira Casar;True;;['London', ', England'];https://en.wikipedia.org/wiki/Amira_Casar
Jared Leto;False;26/12/1971;['Bossier City, Louisiana', ', U.S.'];https://en.wikipedia.org/wiki/Jared_Leto
Caleb Landry Jones;False;7/12/1989;['Garland, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Caleb_Landry_Jones
Bobby Cannavale;False;3/5/1970;['Union City, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Bobby_Cannavale
Lesley Manville;True;12/3/1956;['Brighton', ', ', 'East Sussex', ', England'];https://en.wikipedia.org/wiki/Lesley_Manville
Liev Schreiber;False;4/10/1967;['San Francisco, California', ', U.S.'];https://en.wikipedia.org/wiki/Liev_Schreiber
Lennie James;False;11/10/1965;['Nottingham', ', ', 'Nottinghamshire', ', England'];https://en.wikipedia.org/wiki/Lennie_James
Daniel Day-Lewis;False;29/4/1957;['London, England'];https://en.wikipedia.org/wiki/Daniel_Day-Lewis
Edward James Olmos;False;24/2/1947;['East Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Edward_James_Olmos
Esther Garrel;True;18/2/1991;['Paris', ', France'];https://en.wikipedia.org/wiki/Esther_Garrel
Catherine Keener;True;26/3/1959;['Miami', ', ', 'Florida', ', U.S.'];https://en.wikipedia.org/wiki/Catherine_Keener
Francisco Reyes Morandé;False;6/7/1954;['Santiago', ', ', 'Chile'];https://en.wikipedia.org/wiki/Francisco_Reyes_Morand%C3%A9
Daniela Vega;True;3/6/1989;['San Miguel', ', ', 'Santiago Province', ', Chile'];https://en.wikipedia.org/wiki/Daniela_Vega
Armie Hammer;False;28/8/1986;['Santa Monica, California', ', U.S.'];https://en.wikipedia.org/wiki/Armie_Hammer
Victoire Du Bois;True;;['Nantes', ', France'];https://en.wikipedia.org/wiki/Victoire_Du_Bois
Stephen Dillane;False;27/3/1957;['London', ', England, UK'];https://en.wikipedia.org/wiki/Stephen_Dillane
Bradley Whitford;False;10/10/1959;['Madison, Wisconsin', ', U.S.'];https://en.wikipedia.org/wiki/Bradley_Whitford
Julianne Nicholson;True;1/7/1971;['Medford', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Julianne_Nicholson
Sam Worthington;False;2/8/1976;['Godalming', ', ', 'Surrey', ', England'];https://en.wikipedia.org/wiki/Sam_Worthington
Luke Bracey;False;26/4/1989;['Sydney', ', ', 'New South Wales', ', Australia'];https://en.wikipedia.org/wiki/Luke_Bracey
Nicolas Cage;False;7/1/1964;['Long Beach, California', ', U.S.'];https://en.wikipedia.org/wiki/Nicolas_Cage
Mackenzie Davis;True;1/4/1987;['Vancouver, British Columbia', ', Canada'];https://en.wikipedia.org/wiki/Mackenzie_Davis
Teresa Palmer;True;26/2/1986;['Adelaide', ', Australia'];https://en.wikipedia.org/wiki/Teresa_Palmer
Ana Ofelia Murguía;True;8/12/1933;['Mexico City', ', Mexico'];https://en.wikipedia.org/wiki/Ana_Ofelia_Murgu%C3%ADa
Rosemarie DeWitt;True;26/10/1971;['Flushing, Queens', ', ', 'New York', ', U.S.'];https://en.wikipedia.org/wiki/Rosemarie_DeWitt
John Legend;False;28/12/1978;['Springfield, Ohio', ', U.S.'];https://en.wikipedia.org/wiki/John_Legend
Hugo Weaving;False;4/4/1960;['Ibadan', ', ', 'British Nigeria'];https://en.wikipedia.org/wiki/Hugo_Weaving
André Holland;False;28/12/1979;['Bessemer, Alabama', ', U.S.'];https://en.wikipedia.org/wiki/Andr%C3%A9_Holland
Rachel Griffiths;True;;['Melbourne', ', ', 'Victoria', ', Australia', '[a]'];https://en.wikipedia.org/wiki/Rachel_Griffiths
J. K. Simmons;False;9/1/1955;['Grosse Pointe, Michigan', ', U.S.'];https://en.wikipedia.org/wiki/J._K._Simmons
Vince Vaughn;False;28/3/1970;['Minneapolis', ', ', 'Minnesota', ', U.S.'];https://en.wikipedia.org/wiki/Vince_Vaughn
Ashton Sanders;False;24/10/1995;['Carson, California', ', U.S.'];https://en.wikipedia.org/wiki/Ashton_Sanders
Jeremy Renner;False;7/1/1971;['Modesto, California', ', U.S.'];https://en.wikipedia.org/wiki/Jeremy_Renner
Jharrel Jerome;False;9/10/1997;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Jharrel_Jerome
Jovan Adepo;False;6/9/1988;['Upper Heyford, Oxfordshire', ', England'];https://en.wikipedia.org/wiki/Jovan_Adepo
Lucas Hedges;False;12/12/1996;['Brooklyn Heights, New York', ', U.S.'];https://en.wikipedia.org/wiki/Lucas_Hedges
Trevante Rhodes;False;10/2/1990;['Ponchatoula, Louisiana', ', U.S.'];https://en.wikipedia.org/wiki/Trevante_Rhodes
Tzi Ma;False;10/6/1962;['British Hong Kong'];https://en.wikipedia.org/wiki/Tzi_Ma
Janelle Monáe;True;1/12/1985;[];https://en.wikipedia.org/wiki/Janelle_Mon%C3%A1e
Michelle Williams (actress);True;9/9/1980;['Kalispell, Montana', ', U.S.'];https://en.wikipedia.org/wiki/Michelle_Williams_(actress)
Casey Affleck;False;12/8/1975;['Falmouth, Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Casey_Affleck
Mykelti Williamson;False;4/3/1957;['St. Louis, Missouri', ', U.S.'];https://en.wikipedia.org/wiki/Mykelti_Williamson
Dan Fogler;False;20/10/1976;['Brooklyn', ', ', 'New York', ', U.S.'];https://en.wikipedia.org/wiki/Dan_Fogler
Ben Kingsley;False;31/12/1943;['Snainton', ', ', 'North Riding of Yorkshire', ', England'];https://en.wikipedia.org/wiki/Ben_Kingsley
Alison Sudol;True;23/12/1984;['Seattle, Washington', ', U.S.'];https://en.wikipedia.org/wiki/Alison_Sudol
Bill Murray;False;21/9/1950;['Evanston, Illinois', ', U.S.', '[1]'];https://en.wikipedia.org/wiki/Bill_Murray
Idris Elba;False;6/9/1972;['London', ', England'];https://en.wikipedia.org/wiki/Idris_Elba
Ezra Miller;False;30/9/1992;['Wyckoff, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Ezra_Miller
Taraneh Alidoosti;True;12/1/1984;['Tehran', ', Iran'];https://en.wikipedia.org/wiki/Taraneh_Alidoosti
Shahab Hosseini;False;3/2/1974;['Tehran', ', Iran'];https://en.wikipedia.org/wiki/Shahab_Hosseini
Russell Hornsby;False;15/5/1974;['San Francisco', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Russell_Hornsby
Giancarlo Esposito;False;26/4/1958;['Copenhagen', ', Denmark'];https://en.wikipedia.org/wiki/Giancarlo_Esposito
Samantha Morton;True;13/5/1977;['Nottingham', ', ', 'Nottinghamshire', ', England'];https://en.wikipedia.org/wiki/Samantha_Morton
Christopher Walken;False;31/3/1943;['New York City, U.S.'];https://en.wikipedia.org/wiki/Christopher_Walken
Ron Perlman;False;13/4/1950;['Manhattan', ', New York, U.S.', '[1]'];https://en.wikipedia.org/wiki/Ron_Perlman
Joel Kinnaman;False;25/11/1979;['Stockholm', ', Sweden'];https://en.wikipedia.org/wiki/Joel_Kinnaman
Carmen Ejogo;True;22/10/1973;['Kensington, London', ', England'];https://en.wikipedia.org/wiki/Carmen_Ejogo
Jon Voight;False;29/12/1938;['Yonkers, New York', ', U.S.'];https://en.wikipedia.org/wiki/Jon_Voight
Will Smith;False;25/9/1968;['Philadelphia, Pennsylvania', ', U.S.'];https://en.wikipedia.org/wiki/Will_Smith
Jay Hernandez;False;20/2/1978;['Montebello', ', ', 'California', ',  U.S.'];https://en.wikipedia.org/wiki/Jay_Hernandez
Nicholas Hoult;False;7/12/1989;['Wokingham', ', ', 'Berkshire', ', England'];https://en.wikipedia.org/wiki/Nicholas_Hoult
Colin Farrell;False;31/5/1976;['Castleknock', ', ', 'Dublin', ', Ireland'];https://en.wikipedia.org/wiki/Colin_Farrell
Mark Rylance;False;18/1/1960;['Ashford', ', ', 'Kent', ', England'];https://en.wikipedia.org/wiki/Mark_Rylance
